ROIid;ROIabbr;ROIname
244;rSomMotB_Aud_1;17Networks_RH_SomMotB_Aud_1
245;rSomMotB_Aud_2;17Networks_RH_SomMotB_Aud_2
246;rSomMotB_Ins_1;17Networks_RH_SomMotB_Ins_1
247;rSomMotB_S2_1;17Networks_RH_SomMotB_S2_1
248;rSomMotB_S2_2;17Networks_RH_SomMotB_S2_2
249;rSomMotB_Aud_3;17Networks_RH_SomMotB_Aud_3
250;rSomMotB_S2_3;17Networks_RH_SomMotB_S2_3
251;rSomMotB_S2_4;17Networks_RH_SomMotB_S2_4
252;rSomMotB_S2_5;17Networks_RH_SomMotB_S2_5
253;rSomMotB_S2_6;17Networks_RH_SomMotB_S2_6
254;rSomMotB_S2_7;17Networks_RH_SomMotB_S2_7
255;rSomMotB_S2_8;17Networks_RH_SomMotB_S2_8
256;rSomMotB_Cent_1;17Networks_RH_SomMotB_Cent_1
257;rSomMotB_Cent_2;17Networks_RH_SomMotB_Cent_2
258;rSomMotB_Cent_3;17Networks_RH_SomMotB_Cent_3
259;rDorsAttnA_TempOcc_1;17Networks_RH_DorsAttnA_TempOcc_1
260;rDorsAttnA_TempOcc_2;17Networks_RH_DorsAttnA_TempOcc_2
261;rDorsAttnA_TempOcc_3;17Networks_RH_DorsAttnA_TempOcc_3
262;rDorsAttnA_ParOcc_1;17Networks_RH_DorsAttnA_ParOcc_1
263;rDorsAttnA_ParOcc_2;17Networks_RH_DorsAttnA_ParOcc_2
264;rDorsAttnA_ParOcc_3;17Networks_RH_DorsAttnA_ParOcc_3
265;rDorsAttnA_SPL_1;17Networks_RH_DorsAttnA_SPL_1
266;rDorsAttnA_SPL_2;17Networks_RH_DorsAttnA_SPL_2
267;rDorsAttnA_SPL_3;17Networks_RH_DorsAttnA_SPL_3
268;rDorsAttnA_SPL_4;17Networks_RH_DorsAttnA_SPL_4
269;rDorsAttnA_SPL_5;17Networks_RH_DorsAttnA_SPL_5
270;rDorsAttnA_SPL_6;17Networks_RH_DorsAttnA_SPL_6
271;rDorsAttnA_SPL_7;17Networks_RH_DorsAttnA_SPL_7
272;rDorsAttnA_SPL_8;17Networks_RH_DorsAttnA_SPL_8
273;rDorsAttnB_TempOcc_1;17Networks_RH_DorsAttnB_TempOcc_1
274;rDorsAttnB_PostC_1;17Networks_RH_DorsAttnB_PostC_1
275;rDorsAttnB_PostC_2;17Networks_RH_DorsAttnB_PostC_2
276;rDorsAttnB_PostC_3;17Networks_RH_DorsAttnB_PostC_3
277;rDorsAttnB_PostC_4;17Networks_RH_DorsAttnB_PostC_4
278;rDorsAttnB_PostC_5;17Networks_RH_DorsAttnB_PostC_5
279;rDorsAttnB_PostC_6;17Networks_RH_DorsAttnB_PostC_6
280;rDorsAttnB_PostC_7;17Networks_RH_DorsAttnB_PostC_7
281;rDorsAttnB_PostC_8;17Networks_RH_DorsAttnB_PostC_8
282;rDorsAttnB_FEF_1;17Networks_RH_DorsAttnB_FEF_1
283;rDorsAttnB_FEF_2;17Networks_RH_DorsAttnB_FEF_2
284;rDorsAttnB_FEF_3;17Networks_RH_DorsAttnB_FEF_3
285;rSalVentAttnA_ParOper_1;17Networks_RH_SalVentAttnA_ParOper_1
286;rSalVentAttnA_ParOper_2;17Networks_RH_SalVentAttnA_ParOper_2
287;rSalVentAttnA_ParOper_3;17Networks_RH_SalVentAttnA_ParOper_3
288;rSalVentAttnA_PrC_1;17Networks_RH_SalVentAttnA_PrC_1
289;rSalVentAttnA_Ins_1;17Networks_RH_SalVentAttnA_Ins_1
290;rSalVentAttnA_Ins_2;17Networks_RH_SalVentAttnA_Ins_2
291;rSalVentAttnA_Ins_3;17Networks_RH_SalVentAttnA_Ins_3
292;rSalVentAttnA_Ins_4;17Networks_RH_SalVentAttnA_Ins_4
293;rSalVentAttnA_FrOper_1;17Networks_RH_SalVentAttnA_FrOper_1
294;rSalVentAttnA_FrOper_2;17Networks_RH_SalVentAttnA_FrOper_2
295;rSalVentAttnA_FrOper_3;17Networks_RH_SalVentAttnA_FrOper_3
296;rSalVentAttnA_FrMed_1;17Networks_RH_SalVentAttnA_FrMed_1
297;rSalVentAttnA_ParMed_1;17Networks_RH_SalVentAttnA_ParMed_1
298;rSalVentAttnA_ParMed_2;17Networks_RH_SalVentAttnA_ParMed_2
299;rSalVentAttnA_FrMed_2;17Networks_RH_SalVentAttnA_FrMed_2
300;rSalVentAttnA_ParMed_3;17Networks_RH_SalVentAttnA_ParMed_3
301;rSalVentAttnA_ParMed_4;17Networks_RH_SalVentAttnA_ParMed_4
302;rSalVentAttnA_FrMed_3;17Networks_RH_SalVentAttnA_FrMed_3
303;rSalVentAttnA_FrMed_4;17Networks_RH_SalVentAttnA_FrMed_4
304;rSalVentAttnB_IPL_1;17Networks_RH_SalVentAttnB_IPL_1
305;rSalVentAttnB_PFClv_1;17Networks_RH_SalVentAttnB_PFClv_1
306;rSalVentAttnB_PFCl_1;17Networks_RH_SalVentAttnB_PFCl_1
307;rSalVentAttnB_PFCl_2;17Networks_RH_SalVentAttnB_PFCl_2
308;rSalVentAttnB_PFCl_3;17Networks_RH_SalVentAttnB_PFCl_3
309;rSalVentAttnB_Ins_1;17Networks_RH_SalVentAttnB_Ins_1
310;rSalVentAttnB_Ins_2;17Networks_RH_SalVentAttnB_Ins_2
311;rSalVentAttnB_PFCmp_1;17Networks_RH_SalVentAttnB_PFCmp_1
312;rSalVentAttnB_PFCmp_2;17Networks_RH_SalVentAttnB_PFCmp_2
313;rLimbicB_OFC_1;17Networks_RH_LimbicB_OFC_1
314;rLimbicB_OFC_2;17Networks_RH_LimbicB_OFC_2
315;rLimbicB_OFC_3;17Networks_RH_LimbicB_OFC_3
316;rLimbicB_OFC_4;17Networks_RH_LimbicB_OFC_4
317;rLimbicB_OFC_5;17Networks_RH_LimbicB_OFC_5
318;rLimbicB_OFC_6;17Networks_RH_LimbicB_OFC_6
319;rLimbicA_TempPole_1;17Networks_RH_LimbicA_TempPole_1
320;rLimbicA_TempPole_2;17Networks_RH_LimbicA_TempPole_2
321;rLimbicA_TempPole_3;17Networks_RH_LimbicA_TempPole_3
322;rLimbicA_TempPole_4;17Networks_RH_LimbicA_TempPole_4
323;rLimbicA_TempPole_5;17Networks_RH_LimbicA_TempPole_5
324;rLimbicA_TempPole_6;17Networks_RH_LimbicA_TempPole_6
325;rContA_IPS_1;17Networks_RH_ContA_IPS_1
326;rContA_IPS_2;17Networks_RH_ContA_IPS_2
327;rContA_IPS_3;17Networks_RH_ContA_IPS_3
328;rContA_IPS_4;17Networks_RH_ContA_IPS_4
329;rContA_PFCd_1;17Networks_RH_ContA_PFCd_1
330;rContA_PFCl_1;17Networks_RH_ContA_PFCl_1
331;rContA_PFCl_2;17Networks_RH_ContA_PFCl_2
332;rContA_PFCl_3;17Networks_RH_ContA_PFCl_3
333;rContA_PFCl_4;17Networks_RH_ContA_PFCl_4
334;rContA_PFCl_5;17Networks_RH_ContA_PFCl_5
335;rContA_Cingm_1;17Networks_RH_ContA_Cingm_1
336;rContB_Temp_1;17Networks_RH_ContB_Temp_1
337;rContB_Temp_2;17Networks_RH_ContB_Temp_2
338;rContB_IPL_1;17Networks_RH_ContB_IPL_1
339;rContB_IPL_2;17Networks_RH_ContB_IPL_2
340;rContB_IPL_3;17Networks_RH_ContB_IPL_3
341;rContB_IPL_4;17Networks_RH_ContB_IPL_4
342;rContB_PFCld_1;17Networks_RH_ContB_PFCld_1
343;rContB_PFCld_2;17Networks_RH_ContB_PFCld_2
344;rContB_PFCld_3;17Networks_RH_ContB_PFCld_3
345;rContB_PFCld_4;17Networks_RH_ContB_PFCld_4
346;rContB_PFClv_1;17Networks_RH_ContB_PFClv_1
347;rContB_PFClv_2;17Networks_RH_ContB_PFClv_2
348;rContB_PFClv_3;17Networks_RH_ContB_PFClv_3
349;rContB_PFClv_4;17Networks_RH_ContB_PFClv_4
350;rContB_PFCmp_1;17Networks_RH_ContB_PFCmp_1
351;rContC_pCun_1;17Networks_RH_ContC_pCun_1
352;rContC_pCun_2;17Networks_RH_ContC_pCun_2
353;rContC_pCun_3;17Networks_RH_ContC_pCun_3
354;rContC_pCun_4;17Networks_RH_ContC_pCun_4
355;rContC_pCun_5;17Networks_RH_ContC_pCun_5
356;rContC_Cingp_1;17Networks_RH_ContC_Cingp_1
357;rContC_Cingp_2;17Networks_RH_ContC_Cingp_2
358;rDefaultA_Temp_1;17Networks_RH_DefaultA_Temp_1
359;rDefaultA_IPL_1;17Networks_RH_DefaultA_IPL_1
360;rDefaultA_IPL_2;17Networks_RH_DefaultA_IPL_2
361;rDefaultA_PFCd_1;17Networks_RH_DefaultA_PFCd_1
362;rDefaultA_PFCd_2;17Networks_RH_DefaultA_PFCd_2
363;rDefaultA_pCunPCC_1;17Networks_RH_DefaultA_pCunPCC_1
364;rDefaultA_pCunPCC_2;17Networks_RH_DefaultA_pCunPCC_2
365;rDefaultA_pCunPCC_3;17Networks_RH_DefaultA_pCunPCC_3
366;rDefaultA_pCunPCC_4;17Networks_RH_DefaultA_pCunPCC_4
367;rDefaultA_pCunPCC_5;17Networks_RH_DefaultA_pCunPCC_5
368;rDefaultA_PFCm_1;17Networks_RH_DefaultA_PFCm_1
369;rDefaultA_PFCm_2;17Networks_RH_DefaultA_PFCm_2
370;rDefaultA_PFCm_3;17Networks_RH_DefaultA_PFCm_3
371;rDefaultA_PFCm_4;17Networks_RH_DefaultA_PFCm_4
372;rDefaultA_PFCm_5;17Networks_RH_DefaultA_PFCm_5
373;rDefaultA_PFCm_6;17Networks_RH_DefaultA_PFCm_6
374;rDefaultB_Temp_1;17Networks_RH_DefaultB_Temp_1
375;rDefaultB_Temp_2;17Networks_RH_DefaultB_Temp_2
376;rDefaultB_AntTemp_1;17Networks_RH_DefaultB_AntTemp_1
