ROIid;ROIabbr;ROIname;ROIcolor
186;lDefaultB_PFCv_4;17Networks_LH_DefaultB_PFCv_4;206 62 81
187;lDefaultB_PFCv_5;17Networks_LH_DefaultB_PFCv_5;206 62 82
188;lDefaultC_IPL_1;17Networks_LH_DefaultC_IPL_1;0 0 131
189;lDefaultC_Rsp_1;17Networks_LH_DefaultC_Rsp_1;0 0 132
190;lDefaultC_Rsp_2;17Networks_LH_DefaultC_Rsp_2;0 0 133
191;lDefaultC_Rsp_3;17Networks_LH_DefaultC_Rsp_3;0 0 134
192;lDefaultC_PHC_1;17Networks_LH_DefaultC_PHC_1;0 1 131
193;lDefaultC_PHC_2;17Networks_LH_DefaultC_PHC_2;0 1 132
194;lDefaultC_PHC_3;17Networks_LH_DefaultC_PHC_3;0 1 133
195;lTempPar_1;17Networks_LH_TempPar_1;12 48 254
196;lTempPar_2;17Networks_LH_TempPar_2;9 41 249
197;lTempPar_3;17Networks_LH_TempPar_3;9 41 250
198;lTempPar_4;17Networks_LH_TempPar_4;9 41 251
199;lTempPar_5;17Networks_LH_TempPar_5;9 41 252
200;lTempPar_6;17Networks_LH_TempPar_6;9 41 253
201;rVisCent_ExStr_1;17Networks_RH_VisCent_ExStr_1;124 19 131
202;rVisCent_ExStr_2;17Networks_RH_VisCent_ExStr_2;124 19 132
203;rVisCent_ExStr_3;17Networks_RH_VisCent_ExStr_3;124 19 133
204;rVisCent_ExStr_4;17Networks_RH_VisCent_ExStr_4;124 19 134
205;rVisCent_ExStr_5;17Networks_RH_VisCent_ExStr_5;124 19 136
206;rVisCent_ExStr_6;17Networks_RH_VisCent_ExStr_6;124 19 137
207;rVisCent_Striate_1;17Networks_RH_VisCent_Striate_1;124 19 138
208;rVisCent_ExStr_7;17Networks_RH_VisCent_ExStr_7;124 19 139
209;rVisCent_ExStr_8;17Networks_RH_VisCent_ExStr_8;124 19 140
210;rVisCent_ExStr_9;17Networks_RH_VisCent_ExStr_9;124 19 141
211;rVisCent_ExStr_10;17Networks_RH_VisCent_ExStr_10;124 19 142
212;rVisCent_ExStr_11;17Networks_RH_VisCent_ExStr_11;124 20 135
213;rVisPeri_ExStrInf_1;17Networks_RH_VisPeri_ExStrInf_1;250 0 0
214;rVisPeri_ExStrInf_2;17Networks_RH_VisPeri_ExStrInf_2;250 0 2
215;rVisPeri_ExStrInf_3;17Networks_RH_VisPeri_ExStrInf_3;250 0 3
216;rVisPeri_ExStrInf_4;17Networks_RH_VisPeri_ExStrInf_4;250 0 4
217;rVisPeri_ExStrInf_5;17Networks_RH_VisPeri_ExStrInf_5;250 0 5
218;rVisPeri_StriCal_1;17Networks_RH_VisPeri_StriCal_1;250 0 6
219;rVisPeri_StriCal_2;17Networks_RH_VisPeri_StriCal_2;250 0 7
220;rVisPeri_ExStrSup_1;17Networks_RH_VisPeri_ExStrSup_1;250 0 8
221;rVisPeri_ExStrSup_2;17Networks_RH_VisPeri_ExStrSup_2;250 1 1
222;rVisPeri_ExStrSup_3;17Networks_RH_VisPeri_ExStrSup_3;250 1 2
223;rVisPeri_ExStrSup_4;17Networks_RH_VisPeri_ExStrSup_4;250 1 3
224;rSomMotA_1;17Networks_RH_SomMotA_1;74 130 181
225;rSomMotA_2;17Networks_RH_SomMotA_2;74 131 174
226;rSomMotA_3;17Networks_RH_SomMotA_3;74 131 175
227;rSomMotA_4;17Networks_RH_SomMotA_4;74 131 176
228;rSomMotA_5;17Networks_RH_SomMotA_5;74 131 177
229;rSomMotA_6;17Networks_RH_SomMotA_6;74 131 178
230;rSomMotA_7;17Networks_RH_SomMotA_7;74 131 179
231;rSomMotA_8;17Networks_RH_SomMotA_8;74 131 180
232;rSomMotA_9;17Networks_RH_SomMotA_9;74 131 182
233;rSomMotA_10;17Networks_RH_SomMotA_10;74 131 183
234;rSomMotA_11;17Networks_RH_SomMotA_11;74 131 184
235;rSomMotA_12;17Networks_RH_SomMotA_12;74 131 185
236;rSomMotA_13;17Networks_RH_SomMotA_13;74 131 186
237;rSomMotA_14;17Networks_RH_SomMotA_14;74 131 187
238;rSomMotA_15;17Networks_RH_SomMotA_15;74 131 188
239;rSomMotA_16;17Networks_RH_SomMotA_16;74 132 181
240;rSomMotA_17;17Networks_RH_SomMotA_17;74 132 182
241;rSomMotA_18;17Networks_RH_SomMotA_18;74 132 183
242;rSomMotA_19;17Networks_RH_SomMotA_19;74 132 184
243;rSomMotA_20;17Networks_RH_SomMotA_20;74 132 185
244;rSomMotB_Aud_1;17Networks_RH_SomMotB_Aud_1;47 205 158
245;rSomMotB_Aud_2;17Networks_RH_SomMotB_Aud_2;47 205 159
246;rSomMotB_Ins_1;17Networks_RH_SomMotB_Ins_1;47 205 160
247;rSomMotB_S2_1;17Networks_RH_SomMotB_S2_1;47 205 161
248;rSomMotB_S2_2;17Networks_RH_SomMotB_S2_2;47 205 162
249;rSomMotB_Aud_3;17Networks_RH_SomMotB_Aud_3;47 205 163
250;rSomMotB_S2_3;17Networks_RH_SomMotB_S2_3;47 205 165
251;rSomMotB_S2_4;17Networks_RH_SomMotB_S2_4;47 205 166
252;rSomMotB_S2_5;17Networks_RH_SomMotB_S2_5;47 205 167
253;rSomMotB_S2_6;17Networks_RH_SomMotB_S2_6;47 205 168
254;rSomMotB_S2_7;17Networks_RH_SomMotB_S2_7;47 205 169
255;rSomMotB_S2_8;17Networks_RH_SomMotB_S2_8;47 205 170
256;rSomMotB_Cent_1;17Networks_RH_SomMotB_Cent_1;47 205 171
257;rSomMotB_Cent_2;17Networks_RH_SomMotB_Cent_2;47 206 164
258;rSomMotB_Cent_3;17Networks_RH_SomMotB_Cent_3;47 206 165
259;rDorsAttnA_TempOcc_1;17Networks_RH_DorsAttnA_TempOcc_1;78 156 60
260;rDorsAttnA_TempOcc_2;17Networks_RH_DorsAttnA_TempOcc_2;78 156 62
261;rDorsAttnA_TempOcc_3;17Networks_RH_DorsAttnA_TempOcc_3;78 156 63
