# id;name;version;mpm;surface;default-granularity;high-granularity;sub-01;sub-02;sub-03;sub-04;sub-05;sub-06;sub-07;sub-08;sub-09;sub-10;sub-11;sub-12;sub-13;sub-14;sub-15;sub-16;sub-17;sub-18;sub-19;sub-20;sub-21;sub-22;sub-23;sub-24;sub-26
243;Area-TI;6.2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
244;Area-IFS1;4.0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
245;Area-IFS2;4.0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
246;Area-IFS3;4.0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
247;Area-IFS4;4.0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
248;Area-IFJ1;4.0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
249;Area-IFJ2;4.0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
251;Cerebellum-Ninterp;6.3;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
252;Area-2;7.1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
264;BasalForebrain-Ch-4;4.0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
271;Area-STS1;5.3;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
272;Area-STS2;5.3;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
273;Area-Op8;10.0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
274;Area-Op9;10.0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
286;BasalForebrain-Ch-123;4.0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
287;Area-6d1;8.0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
288;Area-6d2;8.0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
289;Area-6d3;8.0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
290;Amygdala-CM;8.2;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
291;Area-hOc6;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
292;Area-hIP6;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
293;Area-hIP8;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
294;Area-hIP4;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
295;Area-hIP5;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
296;Area-hIP7;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
297;Area-hPO1;7.3;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
298;Area-6mp;13.0;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0
299;Area-6ma;13.0;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0
305;Hippocampus-TrS;13.2;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
321;BasalForebrain-Tu;4.0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0
322;BasalForebrain-TuTi;4.0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0
324;Area-Fo4;3.2;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
325;Area-Fo5;3.2;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
326;Area-Fo6;3.2;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
327;Area-Fo7;3.2;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
332;Area-8d1;5.0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
